BM_100_YEARS_WAR;The Hundred Years War;;;;;;;;;;;Ñòîëåòíÿÿ Âîéíà;;x
BM_100_YEARS_WAR_DESC;The death of French King Charles IV in 1328 with no immediate heir triggered a succession dispute that would last for over a hundred years. Edward III of England was the closest living male heir, but the French nobility, balking at the prospect of a foreign king, claimed the line could not pass through a woman, and crowned another pretender - Philip. Nine years later, war broke out...;;;;;;;;;;;1328-é ãîä. Ñìåðòü êîðîëÿ Ôðàíöèè Êàðëà IV, íå îñòàâèâøåãî íàñëåäíèêà, âûçâàëà äèíàñòè÷åñêèé ñïîð, äëèâøèéñÿ áîëåå ñòà ëåò. Áëèæàéøèé ðîäñòâåííèê - Ýäóàðä III, êîðîëü Àíãëèè, ñûí ñåñòðû ïîãèáøåãî. Äâîðÿíñòâî Ôðàíöèè æå âîçäâèãëî íà òðîí Ôèëèïïà Âàëóà, ëèøèâ Ýäóàðäà ïðàâ íà ïðåñòîë. Ñïóñòÿ äåâÿòü ëåò íà÷àëàñü âîéíà…;;x
BM_100_YEARS_WAR_ERA;Late Middle Ages;;;;;;;;;;;Ïîçäíåå Ñðåäíåâåêîâüå;;x
BM_100_YEARS_WAR_ERA_INFO;Europe in the Late Middle Ages was a very different place compared to a few hundred years earlier. Spain was dominated by the Christian kingdoms, the Muslim rulers only clinging on in the south. The Holy Roman Empire still dominated Central Europe next to a strong Hungary, while in France and England dynastic conflicts with roots in the Norman conquest were to lead to long and bloody wars. The Golden Horde and the Ilkhanate dominated the Steppes and Persia, forcing every ruler between Central Europe and India to take the Mongols into account. The Tughluq dynasty ruled an immense empire in India, while North Africa was divided between various Arab dynasties. Turkish domination in the Middle East seemed to have been ended by the Mongol conquests, but in Anatolia a dynasty known as the Ottomans was stirring...;;;;;;;;;;;Åâðîïà ýïîõè Ïîçäíåãî Ñðåäíåâåêîâüÿ ñòàëà ñîâñåì äðóãîé â ñðàâíåíèè ñ íåñêîëüêèìè âåêàìè íàçàä. Â Èñïàíèè äîìèíèðóþò õðèñòèàíñêèå êîðîëåâñòâà, ìóñóëüìàíñêèå ïðàâèòåëè çàêðåïèëèñü íà þãå. Ñâÿùåííàÿ Ðèìñêàÿ èìïåðèÿ ïî-ïðåæíåìó äîìèíèðóåò â Öåíòðàëüíîé Åâðîïå ðÿäîì ñ ñèëüíîé Âåíãðèåé, â òî âðåìÿ êàê Ôðàíöèÿ è Àíãëèÿ, â ñâÿçè ñ äèíàñòè÷åñêèìè êîíôëèêòàìè ýïîõè Íîðìàíäñêîãî çàâîåâàíèÿ, ãîòîâû íà÷àòü äîëãóþ è êðîâàâóþ âîéíó. Çîëîòàÿ Îðäà è Èëüõàíàò ïðåîáëàäàþò â ñòåïÿõ è Ïåðñèè, âûíóæäàÿ êàæäîãî ïðàâèòåëÿ îò Öåíòðàëüíîé Åâðîïîé äî Èíäèè íå òåðÿòü ìîíãîëîâ èç âèäó. Äèíàñòèÿ Òóãëàê ñîçäàëà îãðîìíóþ èìïåðèþ â Èíäèè, à Ñåâåðíàÿ Àôðèêà ðàçäåëåíà ìåæäó àðàáñêèìè äèíàñòèÿìè. Ãîñïîäñòâî òóðêîâ íà Áëèæíåì Âîñòîêå, êàçàëîñü áû óæå çàêîí÷èëîñü ñ ìîíãîëüñêèìè çàâîåâàíèÿìè, íî â Àíàòîëèè âîçíèêëà íîâàÿ ñèëà - äèíàñòèÿ Îñìàíîâ...;;x
BM_BM_CHARLEMAGNE_DESC;The Early Middle Ages started with the fall of the Western Roman Empire in the early 5th century. The earlier part of this era saw the great Germanic and Slavic migrations across Europe, with peoples such as the Goths and Lombards settling in Southern Europe, the Franks settling in Gaul and Saxons crossing the sea and settling in Britain. The Eastern Roman Empire was violently shaken by the pressure from the Goths and Avars, and fought bitterly with the ancient Persian enemy. The rise of Islam saw the Arabs conquering immense amounts of territory in the Middle East and North Africa, and in India several great dynasties vied for dominance, with the Rashtrakutas rising towards the end of the 8th century. In the steppes, the Khazars grew in power, and in Scandinavia things were about to change in a way that was to affect the entire continent...;;;;;;;;;;;Ðàííåå Ñðåäíåâåêîâüå íà÷àëîñü ñ ïàäåíèÿ Çàïàäíîé Ðèìñêîé èìïåðèè â íà÷àëå V âåêà. Íà÷àëî ýòîé ýïîõè îçíàìåíîâàëîñü Âåëèêèì ïåðåñåëåíèåì íàðîäîâ. Òàêèå ãåðìàíñêèå ïëåìåíà, êàê ãîòû è ëàíãîáàðäû îáîñíîâàëèñü â Þæíîé Åâðîïå, ôðàíêè ïîñåëèëèñü â Ãàëëèè, ñàêñû ïåðåïðàâèëèñü ÷åðåç ìîðå è îñåëè â Áðèòàíèè. Âîñòî÷íàÿ Ðèìñêàÿ èìïåðèÿ áûëà æåñòîêî îñëàáëåíà äàâëåíèåì ãîòîâ è àâàðîâ, è ñ òðóäîì âîåâàëà ñî ñòàðûì Ïåðñèäñêèì âðàãîì. Ïîäú¸ì èñëàìà ïîêàçàë ñèëó àðàáîâ: îíè ïîêîðèëè îãðîìíûå òåððèòîðèè íà Áëèæíåì Âîñòîêå è â Ñåâåðíîé Àôðèêå. Â Èíäèè íåñêîëüêî âåëèêèõ äèíàñòèè áîðîëèñü çà âëàñòü ñ Ðàøòðàêóðàìè â êîíöå VIII âåêà. Â ñòåïÿõ íàáèðàþò ìîùü Õàçàðû, à â Ñêàíäèíàâèè âåùè ìîãóò èçìåíèòüñÿ òàêèì îáðàçîì, ÷òî ýòî ìîæåò ïîâëèÿòü íà âåñü êîíòèíåíò...;;x
BM_CHARLEMAGNE;Charlemagne;;;;;;;;;;;Êàðë Âåëèêèé;;x
BM_CHARLEMAGNE_ERA;Early Middle Ages;;;;;;;;;;;Ðàííåå Ñðåäíåâåêîâüå;;x
BM_CHARLEMAGNE_ERA_INFO;The Early Middle Ages started with the fall of the Western Roman Empire in the early 5th century. The earlier part of this era saw the great Germanic and Slavic migrations across Europe, with peoples such as the Goths and Lombards settling in Southern Europe, the Franks settling in Gaul and Saxons crossing the sea and settling in Britain. The Eastern Roman Empire was violently shaken by the pressure from the Goths and Avars, and fought bitterly with the ancient Persian enemy. The rise of Islam saw the Arabs conquering immense amounts of territory in the Middle East and North Africa, and in India several great dynasties vied for dominance, with the Rashtrakutas rising towards the end of the 8th century. In the steppes, the Khazars grew in power, and in Scandinavia things were about to change in a way that was to affect the entire continent...;;;;;;;;;;;Ðàííåå Ñðåäíåâåêîâüå íà÷àëîñü ñ ïàäåíèÿ Çàïàäíîé Ðèìñêîé èìïåðèè â íà÷àëå V âåêà. Ðàííÿÿ ÷àñòü ýòîé ýïîõè óçðåëà âåëèêîå ïåðåñåëåíèå íàðîäîâ. Òàêèå êàê ãîòû è ëàíãîáàðäû îñåëè â Þæíîé Åâðîïå, ôðàíêè ïîñåëèëèñü â Ãàëëèè, ñàêñû ïîñåëèëèñü â Âåëèêîáðèòàíèè è Ãåðìàíèè. Âîñòî÷íàÿ Ðèìñêàÿ èìïåðèÿ áûëà æåñòîêî îñëàáëåíà ïîä íàòèñêîì ãîòîâ è àâàðîâ, è ñ òðóäîì âîåâàëà ñî ñòàðûì âðàãîì - Ïåðñèåé. Ïîäú¸ì èñëàìà ïîêàçàë ñèëó àðàáîâ: îíè ïîêîðèëè îãðîìíûå òåððèòîðèè íà Áëèæíåì Âîñòîêå è â Ñåâåðíîé Àôðèêå. Â Èíäèè íåñêîëüêî âåëèêèõ äèíàñòèé áîðîëèñü çà âëàñòü ñ Ðàøòðàêóòàìè â êîíöå VIII âåêà. Â ñòåïÿõ îáðåëè ñâîþ ìîùü õàçàðû. Â Ñêàíäèíàâèè äåëà ìîãëè èçìåíèòüñÿ òàêèì îáðàçîì, ÷òî ýòî ïîâëèÿëî áû íà âåñü êîíòèíåíò...;;x
BM_FATE_OF_ENGLAND;Stamford Bridge;;;;;;;;;;;Ñòàìôîðä-Áðèäæ;;x
BM_FATE_OF_ENGLAND_DESC;September 20, 1066 AD. King Harold Godwinson rushes to defend the shores of England against the forces of his traitorous brother Tostig and the Norwegian king Harald IV, nicknamed 'Hårdråde' (Hard Ruler). Meanwhile, William, Duke of Normandy, is about to launch his own invasion of England, sanctioned by Pope Alexander II himself. Saxon, Norse, or Norman - who shall rule Albion?;;;;;;;;;;;20 ñåíòÿáðÿ 1066-îãî ãîäà îò Ð.Õ. Êîðîëü Ãàðîëüä Ãîäâèíñîí ñïåøèò â Íîðòóìáðèþ, ãîòîâÿñü âñòðåòèòü âîéñêà ñâîåãî áðàòà Òîñòèãà, ïðåäàâøåãî åãî, è êîðîëÿ Íîðâåãèè Õàðàëüäà Ñóðîâîãî. Âèëüãåëüì, ãåðöîã Íîðìàíäèè, ñîáèðàåò âîéñêî äëÿ ïîõîäà íà Áðèòàíèþ, îäîáðåííîãî ñàìèì ïàïîé. Ñàêñû, âèêèíãè, íîðìàííû – ÷üèì áóäåò Àëüáèîí?;;x
BM_FATE_OF_ENGLAND_ERA;High Middle Ages;;;;;;;;;;;Âûñîêîå Ñðåäíåâåêîâüå;;x
BM_FATE_OF_ENGLAND_ERA_INFO;By the late 10th and early 11th centuries the Muslim world was changing, with Turkish dynasties such as the Seljuks and Ghaznavids now dominating Persia. The Byzantine Empire was still holding its own but was to see worse times coming. Central and Western continental Europe was split between France and a strong Holy Roman Empire, while Christian kings were advancing against a fractured and weakened Muslim Spain. Scandinavia was quickly converting to Christianity, and the Norse settlers in Russia and Britain had become assimilated with the local populations. Yet Viking descendants in Normandy and Italy were preparing new conquests, and the time of the First Crusade was approaching...;;;;;;;;;;;Ê êîíöó X - íà÷àëó XI âåêîâ ìóñóëüìàíñêèé ìèð èçìåíèëñÿ, åãî âîçãëàâèëè òþðêñêèå äèíàñòèè, òàêèå êàê Ñåëüäæóêè è Ãàçíåâèäû, äîìèíèðóÿ â Ïåðñèè. Âèçàíòèÿ âñ¸ åù¸ ñàìîñòîÿòåëüíà, íî óæå â îæèäàíèè õóäøèõ âðåì¸í è âòîðæåíèé. Öåíòðàëüíàÿ è Çàïàäíàÿ êîíòèíåíòàëüíàÿ Åâðîïà ðàçäåëåíà ìåæäó Ôðàíöèåé è Ñâÿùåííîé Ðèìñêîé èìïåðèåé, â òî âðåìÿ êàê õðèñòèàíñêèå êîðîëè èäóò ïðîòèâ ñëîìëåííîé è îñëàáëåííîé ìóñóëüìàíñêîé Èñïàíèè. Ñêàíäèíàâèÿ ñòàëà õðèñòèàíñêîé, à ïåðåñåëåíöû èç íå¸ íà ðóññêèõ è áðèòàíñêèõ çåìëÿõ òåïåðü àññèìèëèðóþòñÿ ñ ìåñòíûì íàñåëåíèåì. Òåì íå ìåíåå, ïîòîìêè âèêèíãîâ â Íîðìàíäèè è Èòàëèè ãîòîâÿò íîâûå çàâîåâàíèÿ, ïðèáëèæàåòñÿ âðåìÿ Ïåðâîãî êðåñòîâîãî ïîõîäà...;;x
BM_KOMNENOS_DYNASTY;The Alexiad;;;;;;;;;;;Àëåêñèàäà;;x
BM_KOMNENOS_DYNASTY_DESC;After a series of devastating losses to invading Turkish forces, the Byzantine Empire is reeling. But there is hope - the great general Alexios Komnenos has just seized the throne from the corrupt Nikephoros III. Alexios - whose life was documented by his daughter Anna in 'the Alexiad' - and his successors would halt the decline of the Empire and push back the Turkish invaders from western Anatolia, buying more time for the ailing remnants of the old Roman Empire. For now, Anatolia is ruled by Suleyman I, a member of the Seljuk dynasty, who arrogantly calls his new state the 'Sultanate of Rum' (Rome).;;;;;;;;;;;"Ïîñëå ñåðèè îïóñòîøàþùèõ âòîðæåíèé òóðêîâ, Âèçàíòèéñêàÿ èìïåðèÿ ñåðü¸çíî îñëàáëà. Âñÿ íàäåæäà íà âåëèêîãî ïîëêîâîäöà Àëåêñèÿ Êîìíèíà, çàõâàòèâøåãî òðîí ó êîððóìïèðîâàííîãî Íèêèôîðà III. Àëåêñèé - ÷üÿ æèçíü, à òàêæå æèçíü åãî ïðååìíèêîâ, áûëà çàäîêóìåíòèðîâàíà åãî äî÷åðüþ Àííîé â ""Àëåêñèàäå"", ñìîã îñòàíîâèòü ïàäåíèå èìïåðèè è âûòåñíèòü òóðêîâ èç çàïàäíîé Àíàòîëèè. Íà äàííûé ìîìåíò Àíàòîëèåé ïðàâèò Ñóëåéìàí I, èç äèíàñòèè Ñåëüäæóêîâ, êîòîðàÿ íàäìåííî íàçûâàåò ñâî¸ ãîñóäàðñòâî ""Ñóëòàíàò Ðóì""(Ðèì).";;x
BM_NORMAN_CONQUEST;William the Conqueror;;;;;;;;;;;Âèëüãåëüì Çàâîåâàòåëü;;x
BM_NORMAN_CONQUEST_DESC;Victorious at the hard-fought Battle of Hastings, William, Duke of Normandy, has proclaimed himself King of England. Displaced Saxon lords rage against the French speaking usurpers as fief after fief is given to William's loyal followers. In Anatolia, the Seljuk Turks under the great sultan Alp Arslan are about to invade the Byzantine Empire in a struggle that will determine the fate of Asia Minor...;;;;;;;;;;;Òðèóìôàòîð áèòâû ïðè Ãàñòèíãñå, Âèëüãåëüì II, ãåðöîã Íîðìàíäèè, îáúÿâëÿåò ñåáÿ êîðîë¸ì Àíãëèè. Ñàêñîíñêèå ëîðäû â ÿðîñòè – ôðàíöóçû îòáèðàþò ó íèõ âñå áîëüøå çåìëè, êëî÷îê çà êëî÷êîì. Íà äðóãîì êîíöå Åâðîïû Àëï-Àðñëàí, ñóëòàí ñåëüäæóêîâ, ñîáèðàåò âîéñêà äëÿ ïîõîäà íà Âèçàíòèþ. Êëèíêè óæå íàòî÷åíû, è ñóäüáó Ìàëîé Àçèè ðåøèò òîëüêî êðîâàâàÿ ñõâàòêà...;;x
BM_RISE_OF_THE_HANSA;Rise of the Hansa;;;;;;;;;;;Ñòàíîâëåíèå Ãàíçû;;x
BM_RISE_OF_THE_HANSA_DESC;The burghers of the Imperial Free Cities of Lübeck and Hamburg in Northern Germany have just formed a trade alliance that will eventually become known as the Hanseatic League. Meanwhile, the terrible Mongol Horde has swept like a scythe through Eastern Europe, effortlessly mowing down all opposition. As even the Holy Roman Emperor Friedrich II cowers in fear, the great invasion suddenly comes to an inexplicable halt as both Batu Khan of the Golden Horde and Hulagu Khan of the Ilkhanate return to Karakorum to elect a new Great Khan.;;;;;;;;;;;Áþðãåðû èìïåðàòîðñêèõ âîëüíûõ ãîðîäîâ Ëþáåê è Ãàìáóðã â Ñåâåðíîé Ãåðìàíèè òîëüêî ÷òî ñôîðìèðîâàëè òîðãîâûé ñîþç, êîòîðûé ñî âðåìåíåì ñòàíåò èçâåñòåí ïîä èìåíåì Ãàíçà. Ìåæäó òåì, ìîíãîëüñêèå îðäû ïðîøëè ÷åðåç Âîñòî÷íóþ Åâðîïó, êîñÿ âñåõ ïðîòèâíèêîâ íà ñâî¸ì ïóòè. Ïîêà äàæå èìïåðàòîð Ñâÿùåííîé Ðèìñêîé èìïåðèè Ôðèäðèõ II ñú¸æèâàåòñÿ îò ñòðàõà, âåëèêîå íàøåñòâèå âäðóã äîõîäèò äî íåîáúÿñíèìîé îñòàíîâêè - õàí Áàòûé èç Çîëîòîé Îðäû è Õóëàãó-õàí èç Èëüõàíàòà âîçâðàùàþòñÿ â Êàðàêîðóì äëÿ èçáðàíèÿ íîâîãî âåëèêîãî õàíà.;;x
BM_THE_LATIN_EMPIRE;The Latin Empire;;;;;;;;;;;Ëàòèíñêàÿ èìïåðèÿ;;x
BM_THE_LATIN_EMPIRE_DESC;The notorious and ill fated Fourth Crusade, which was supposed to retake Jerusalem after an invasion through Egypt, was instead derailed by scheming Venetians, corrupt leaders and the deposed Byzantine Emperor Alexios IV, seeking to regain his lost throne. The result was the tragic sack of Constantinople and the subsequent establishment of the so called Latin Empire. Almost none of the Crusaders even reached the Holy Land. Meanwhile, the infamous King John, brother of Richard the Lionheart, rules in England, and the Christian states of Spain face off against the powerful Almohad dynasty.;;;;;;;;;;;Ïðåñëîâóòûé ×åòâ¸ðòûé êðåñòîâûé ïîõîä, êîòîðûé äîëæåí áûë âåðíóòü Èåðóñàëèì, ïîñëå âòîðæåíèÿ â Åãèïåò áûë ñîðâàí, èíòðèãàìè âåíåöèàíöåâ è êîððóìïèðîâàííûõ ëèäåðîâ ñâåðãíóòîãî âèçàíòèéñêîãî èìïåðàòîðà Àëåêñèÿ IV, ñòðåìèâøåãîñÿ âåðíóòü ñåáå ïîòåðÿííûé òðîí. Â ðåçóëüòàòå òðàãè÷åñêèõ ñîáûòèé â Êîíñòàíòèíîïîëå è ïîñëåäóþùåãî ñîçäàíèÿ òàê íàçûâàåìîé Ëàòèíñêîé èìïåðèè, ïî÷òè íèêòî èç êðåñòîíîñöåâ äàæå íå äîñòèã Ñâÿòîé çåìëè. Â òî æå âðåìÿ, ïå÷àëüíî èçâåñòíûé êîðîëü Äæîí, áðàò Ðè÷àðäà Ëüâèíîå Ñåðäöå, ïðàâèë â Àíãëèè, à õðèñòèàíñêèå ãîñóäàðñòâà Èñïàíèè âñòðåòèëèñü ëèöîì ê ëèöó ñ ìîãóùåñòâåííûì ãîñóäàðñòâîì Àëüìîõàäîâ.;;x
BM_THE_MONGOLS;The Mongols;;;;;;;;;;;Ìîíãîëû;;x
BM_THE_MONGOLS_DESC;After uniting the warring steppe tribes under a single banner for the first time, the great warlord Temujin, or Genghis Khan as he now styles himself, has set out to expand his growing empire further. In Central Asia, Mongolian envoys to Ala ed-Din of Khwarezm have been massacred and this is an insult the Great Khan cannot ignore. He has led his armies west and now stands poised to punish the powerful Muslim realm for its insolence. Like a coiled spring, the massed Mongol armies are ready to be unleashed upon the world. Where will they stop?;;;;;;;;;;;Ïîñëå îáúåäèíåíèÿ âðàæäóþùèõ ïëåì¸í ñòåïè ïîä åäèíûì çíàìåíåì, âåëèêèé âîåíà÷àëüíèê Òåìó÷æèí, èëè ×èíãèñõàí, êàê ñåé÷àñ îí âåëè÷àåò ñåáÿ, íàìåðåâàåòñÿ ðàñøèðèòü ñâîþ ðàñòóùóþ èìïåðèþ äàëüøå. Â Öåíòðàëüíîé Àçèè, ìîíãîëüñêèå ïîñëû ê Àëà àä-Äèíó Õîðåçìà áûëè óáèòû, è ýòî îñêîðáëåíèå âåëèêîãî õàíà íå ìîæåò áûòü ïðîèãíîðèðîâàíî. Îí âåä¸ò ñâîè àðìèè íà çàïàä è ãîòîâ íàêàçàòü ìîùíîå ìóñóëüìàíñêîå ãîñóäàðñòâî çà äåðçîñòü åãî ïðàâèòåëÿ. Íî ìíîãî÷èñëåííûå ìîíãîëüñêèå âîéñêà ãîòîâû çàõâàòèòü âåñü ìèð. Ãäå îíè îñòàíîâÿòñÿ èëè èõ îñòàíîâÿò?;;x
BM_THE_MONGOLS_ERA;Age of the Mongols;;;;;;;;;;;Ýðà Ìîíãîëîâ;;x
BM_THE_MONGOLS_ERA_INFO;As Europe entered the 13th century, Constantinople had been weakened by the Turks and sacked by the Fourth Crusade, so the Byzantine Empire was very much weakened. The Turks still reigned in the Middle East and Persia, in India many new kingdoms vied for power after the fall of the old dynasties. The Norman conquest had brought new political and dynastic struggles to England and France, the Christian kingdoms in Spain were continually growing stronger, Scandinavia had left paganism behind and was becoming more centralized. In Russia several principalities struggled for power in the shadow of the Bolghars and Cumans to the east. In Germany and Italy, the Holy Roman Empire still stood firm, but beyond all this, to the east, a new power was to come into play. When the Mongols broke into Eastern Europe and Persia, it changed the balance of power in all of Western Eurasia...;;;;;;;;;;;Êîãäà Åâðîïà âñòóïèëà â XIII âåê, Êîíñòàíòèíîïîëü áûë îñëàáëåí òóðêàìè è ðàçãðàáëåí ×åòâ¸ðòûì êðåñòîâûì ïîõîäîì - Âèçàíòèÿ ñåðü¸çíî ïîñòðàäàëà. Òóðêè åù¸ ïðàâÿò â Ïåðñèè è íà Áëèæíåì Âîñòîêå, à â Èíäèè ìíîæåñòâî íîâûõ öàðñòâ ñîïåðíè÷àåò çà âëàñòü ïîñëå ïàäåíèÿ ñòàðûõ äèíàñòèé. Íîðìàíäñêèå çàâîåâàíèÿ ïðèâåëè ê íîâûì ïîëèòè÷åñêèì è äèíàñòè÷åñêèì ñòîëêíîâåíèÿì Àíãëèè è Ôðàíöèè, à õðèñòèàíñêèå êîðîëåâñòâà â Èñïàíèè íåóìîëèìî óêðåïëÿþòñÿ. Ñêàíäèíàâèÿ îñòàâèëà ÿçû÷åñòâî ïîçàäè è ñòàíîâèòñÿ áîëåå öåíòðàëèçîâàííîé, à ðóññêèå êíÿæåñòâà áîðÿòñÿ çà âëàñòü â òåíè áîëãàð è ïîëîâöåâ. Â Ãåðìàíèè è Èòàëèè Ñâÿùåííàÿ Ðèìñêàÿ èìïåðèÿ ñòîèò òâ¸ðäî, íî íà âîñòîêå âñòóïàåò â èãðó íîâàÿ ñèëà - âòîðæåíèå ìîíãîëîâ â Âîñòî÷íóþ Åâðîïó è Ïåðñèþ èçìåíèëî áàëàíñ ñèë âî âñåé Çàïàäíîé Åâðàçèè...;;x
BM_THE_OLD_GODS;The Old Gods;;;;;;;;;;;Ñòàðûå Áîãè;;x
BM_THE_OLD_GODS_DESC;§Y'How the little piglets would grunt if they knew how the old boar suffered.'§! Those were the prophetic last words of the legendary viking §YRagnarr Loðbrok§! as he lay dying in the snake pit of Northumbrian king §YÆlla§!. In 867 the vengeful sons of Loðbrok and their 'Great Heathen Army' descended upon the petty kingdoms of Britain to make of §YÆlla§! a 'Blood Eagle'. Meanwhile, two other Norse lords - §YRurik§! and §YDyre§! - were carving out their own rival states among the Slavic and Finnish tribes of the East, laying down the foundations for what would one day become Russia. The Old Gods are still strong and their warriors mighty!;;;;;;;;;;;"§Y""Êàê áû çàõðþêàëè ìîè ïîðîñÿòà, çíàé îíè, êàêîâî ñåé÷àñ ìíå, èõ ñòàðîìó êàáàíó""§! Ýòè ïðîðî÷åñêèå ñëîâà ñòàëè ïîñëåäíèìè ñëîâàìè ëåãåíäàðíîãî âèêèíãà §YÐàãíàðà Ëîäáðîêà§!, êîãäà îí óìèðàë â çìåèíîé ÿìå êîðîëÿ Íîðòóìáðèè §YÝëëû§!. Â 867 ãîäó ìñòèòåëüíûå ñûíîâüÿ Ëîäáðîêà è èõ ""Âåëèêàÿ ÿçû÷åñêàÿ àðìèÿ"" âòîðãëèñü â ìàëåíüêèå êîðîëåâñòâà Áðèòàíèè, ÷òîáû äàðîâàòü §YÝëëó§! ""Êðîâàâîãî Îðëà"". Òåì âðåìåíåì äâà äðóãèõ ñêàíäèíàâñêèõ ÿðëà - §YÐþðèê§! è §YÄèð§! - øëè îãí¸ì è ìå÷îì ïî ñîïåðíè÷àþùèì ãîñóäàðñòâàì ñðåäè Ñëàâÿíñêèõ è Ôèíñêèõ ïëåì¸í âîñòîêà, çàêëàäûâàÿ îñíîâû òîãî, ÷òî â îäèí ïðåêðàñíûé äåíü ñòàíåò Ðóñüþ. Ñòàðûå Áîãè âñ¸ åù¸ ñèëüíû, à èõ âîèíû ìîãó÷è!";;x
BM_THE_OLD_GODS_ERA;Viking Age;;;;;;;;;;;Ýïîõà Âèêèíãîâ;;x
