BM_100_YEARS_WAR;The Hundred Years War;;;;;;;;;;;Ñòîëåòíÿÿ Âîéíà;;x
ERA_CHAR_NAME_1128;Robert Guiscard;;;;;;;;;;;"Ðîáåðò ""Ëèñ""";;x
ERA_CHAR_NAME_1282;Otto I;;;;;;;;;;;Îòòîí I;;x
ERA_CHAR_NAME_1316;Heinrich IV;;;;;;;;;;;Ãåíðèõ IV;;x
ERA_CHAR_NAME_1700;Basil I;;;;;;;;;;;Âàñèëèé I Ìàêåäîíÿíèí;;x
ERA_CHAR_NAME_1742;Basileus Alexios;;;;;;;;;;;Áàçèëåâñ Àëåêñèé I Êîìíèí;;x
ERA_CHAR_NAME_3040;Alp Arslan;;;;;;;;;;;Àëï-Àðñëàí;;x
ERA_CHAR_NAME_3040_DLC;Sultan Alp Arslan;;;;;;;;;;;Ñóëòàí Àëï-Àðñëàí;;x
ERA_CHAR_NAME_3046;Sultan Suleyman of Rum;;;;;;;;;;;Ñóëåéìàí, ñóëòàí Ðóìà;;x
ERA_CHAR_NAME_3096;Al-Mustansir Billah;;;;;;;;;;;Àëü-Ìóñòàíñèð Áèëëàõ;;x
ERA_CHAR_NAME_3504;Khagan Akhad Moshka;;;;;;;;;;;Êàãàí Àõàä Ìîñõà;;x
ERA_CHAR_NAME_5788;King Gudrød of Søreyar;;;;;;;;;;;Ãóäð¸ä, êîðîëü Ñ¸ðåÿðà;;x
ERA_CHAR_NAME_6392;Charlemagne;;;;;;;;;;;Êàðë Âåëèêèé;;x
ERA_CHAR_NAME_7757;Duchess Matilda of Tuscany;;;;;;;;;;;Ìàòèëüäà, ãåðöîãèíÿ Òîñêàíñêàÿ;;x
ERA_CHAR_NAME_20289;Count Werner of Basel;;;;;;;;;;;Âåðíåð, ãðàô Áàçåëÿ;;x
ERA_CHAR_NAME_30809;Isabelle II of Jerusalem;;;;;;;;;;;Èçàáåëëà II Èåðóñàëèìñêàÿ;;x
ERA_CHAR_NAME_32901;Caliph al-Qaim;;;;;;;;;;;Õàëèô àëü-Êàèì;;x
ERA_CHAR_NAME_33350;Æthelstan;;;;;;;;;;;Ýòåëüñòàí;;x
ERA_CHAR_NAME_34002;Al-Mansur;;;;;;;;;;;Àëü-Ìàíñóð;;x
ERA_CHAR_NAME_34014;Al-Mu'tazz;;;;;;;;;;;Àëü-Ìóòàçç;;x
ERA_CHAR_NAME_40605;Rurik;;;;;;;;;;;Ðþðèê;;x
ERA_CHAR_NAME_45107;Satrap Vandad Karen;;;;;;;;;;;Ñàòðàï Âàíäàä Êàðåí;;x
ERA_CHAR_NAME_71157;Doge Oberto;;;;;;;;;;;Äîæ Îáåðòî;;x
ERA_CHAR_NAME_73679;Abd-al-Rahman I;;;;;;;;;;;Àáä-àëü-Ðàõìàí I;;x
ERA_CHAR_NAME_73683;Sultan Muhammad;;;;;;;;;;;Ñóëòàí Ìóõàììàä;;x
ERA_CHAR_NAME_74012;Khagan Baghatur of Khazaria;;;;;;;;;;;Áàãàòóð, êàãàí Õàçàðèè;;x
ERA_CHAR_NAME_74025;Khagan Manasseh II;;;;;;;;;;;Êàãàí Ìåíàññå II;;x
ERA_CHAR_NAME_74413;Krishna I;;;;;;;;;;;Êðèøíà I;;x
ERA_CHAR_NAME_74441;Somesvara I;;;;;;;;;;;Ñîìåñâàðà I;;x
ERA_CHAR_NAME_74656;Maharaja Singhana II;;;;;;;;;;;Ìàõàðàäæà Ñèíãõàíà II;;x
ERA_CHAR_NAME_90104;Charles the Bald;;;;;;;;;;;Êàðë Ëûñûé;;x
ERA_CHAR_NAME_90107;Ludwig the German;;;;;;;;;;;Ëþäâèã Íåìåöêèé;;x
ERA_CHAR_NAME_93052;Mohammed II of Khwarezm;;;;;;;;;;;Àëà àä-Äèí Ìóõàììàä II;;x
ERA_CHAR_NAME_100546;Duke Erik III 'the Heathen';;;;;;;;;;;Ãåðöîã Ýéðèê III ßçû÷íèê;;x
ERA_CHAR_NAME_101515;King Svend II of Denmark;;;;;;;;;;;Ñâåí II, êîðîëü Äàíèè;;x
ERA_CHAR_NAME_107590;Count Rodrigo of Valencia;;;;;;;;;;;Ðîäðèãî, ãðàô Âàëåíñèè;;x
ERA_CHAR_NAME_109500;King Garcia of Galicia;;;;;;;;;;;Ãàðñèÿ, êîðîëü Ãàëèñèè;;x
ERA_CHAR_NAME_125501;Genghis Khan;;;;;;;;;;;×èíãèñõàí;;x
ERA_CHAR_NAME_144001;Hakon I;;;;;;;;;;;Õàêîí I;;x
ERA_CHAR_NAME_144999;Karloman I;;;;;;;;;;;Êàðëîìàí I;;x
ERA_CHAR_NAME_145655;King Dawit of Axum;;;;;;;;;;;Äàóèò, öàðü Àêñóìà;;x
ERA_CHAR_NAME_159135;Árpád Zolta;;;;;;;;;;;Àðïàä Æîëüò;;x
ERA_CHAR_NAME_159137;King Árpad Álmos;;;;;;;;;;;Êîðîëü Àðïàä Àëüìîø;;x
ERA_CHAR_NAME_163108;King Björn 'Ironside';;;;;;;;;;;Êîðîëü Áü¸ðí Æåëåçíîáîêèé;;x
ERA_CHAR_NAME_163111;King Ivar the Boneless;;;;;;;;;;;Êîíóíã Èâàð Áåñêîñòíûé;;x
ERA_CHAR_NAME_163112;Halfdan Whiteshirt;;;;;;;;;;;Õàëüôäàí Õâèòñåðê;;x
ERA_CHAR_NAME_167219;Mayor Heinrich of the Hansa;;;;;;;;;;;Õàéíðèõ, ìýð Ãàíçû;;x
ERA_CHAR_NAME_170193;Iltutmish of Delhi;;;;;;;;;;;Èëòóòìèø Äåëèéñêèé;;x
ERA_CHAR_NAME_170258;Muhammad bin Tughluq;;;;;;;;;;;Ìóõàììàä èáí Òóãëàê;;x
ERA_CHAR_NAME_188628;Satrap Jimofuta of Zabulistan;;;;;;;;;;;Äæèìîôóòà, ñàòðàï Çàáóëèñòàíà;;x
ERA_CHAR_NAME_188912;Kara-Khitai Yelü-Zhilugu;;;;;;;;;;;Êàðà-Õèòàé Åëþé ×æèëóãó;;x
ERA_CHAR_NAME_189029;Thakur Vijayabahu;;;;;;;;;;;Òõàêóð Âèäæàÿáàõó;;x
ERA_CHAR_NAME_190028;Maharaja Dharmapala;;;;;;;;;;;Ìàõàðàäæà Äõàðìàïàëà;;x
ERA_CHAR_NAME_190228;King Tassilo III of Bavaria;;;;;;;;;;;Òàññèëîí III, êîðîëü Áàâàðèè;;x
ERA_CHAR_NAME_190347;Desiderius of the Lombards;;;;;;;;;;;Äåçèäåðèé Ëîìáàðäñêèé;;x
ERA_CHAR_NAME_194282;Mayor Gunnar of Visby;;;;;;;;;;;Ãóííàð, ìýð Âèñáþ;;x
ERA_CHAR_NAME_204500;King Henry of England;;;;;;;;;;;Ãåíðè II, êîðîëü Àíãëèè;;x
ERA_CHAR_NAME_205072;King Offa of Mercia;;;;;;;;;;;Îôôà, êîðîëü Ìåðñèè;;x
ERA_CHAR_NAME_205523;Emperor Baudouin;;;;;;;;;;;Èìïåðàòîð Áîäóýí I;;x
ERA_CHAR_NAME_206811;Duke Zhang Yichao of Jiuquan;;;;;;;;;;;×æàí È÷àî, ãóí Öçþöþàíÿ;;x
ERA_CHAR_NAME_212513;Friedrich II;;;;;;;;;;;Ôðèäðèõ II;;x
ERA_CHAR_NAME_213601;Patrician Enrico of Dandolo;;;;;;;;;;;Ïàòðèöèé Ýíðèêî Äàíäîëî;;x
ERA_CHAR_NAME_215674;Basileus Theodoros;;;;;;;;;;;Áàçèëåâñ Ôåîäîð I Ëàñêàðèñ;;x
ERA_CHAR_NAME_223023;Basileus Ioannes;;;;;;;;;;;Áàçèëåâñ Èîàíí II Êîìíèí;;x
ERA_CHAR_NAME_223500;King Guy of Jerusalem;;;;;;;;;;;Ãè, êîðîëü Èåðóñàëèìà;;x
ERA_CHAR_NAME_223523;King Baudouin IV of Jerusalem;;;;;;;;;;;Áîäóýí IV, êîðîëü Èåðóñàëèìà;;x
ERA_CHAR_NAME_223590;Prince Renaud of Antioch;;;;;;;;;;;Ðåíî, êíÿçü Àíòèîõèè;;x
ERA_CHAR_NAME_226000;Sultan Saladin;;;;;;;;;;;Ñóëòàí Ñàëàäèí;;x
ERA_CHAR_NAME_247105;Tsenpo Purgyal Trison Detsen;;;;;;;;;;;Öýíïî Ïóðãüÿë Òðèñîíã Äåöýí;;x
ERA_CHAR_NAME_247204;Purgyal Lha II Taramu;;;;;;;;;;;Ïóðãüÿë Ëõà II Òàðàìî;;x
ERA_CHAR_NAME_247224;Khon Sherab Tsultrim;;;;;;;;;;;Êõîí Øåðàá Öóëòðèì;;x
ERA_CHAR_NAME_248710;High Chief Aritso of Kanem;;;;;;;;;;;Àðèöî, âåðõîâíûé âîæäü Êàíåìà;;x
ERA_CHAR_NAME_260976;Abu Tahir al-Jannabi;;;;;;;;;;;Àáó Òàõèð àëü-Äæàííàáè;;x
ERA_CHAR_NAME_454500;Edward III;;;;;;;;;;;Ýäâàðä III Ïëàíòàãåíåò;;x
ERA_CHAR_NAME_455500;Philippe VI;;;;;;;;;;;Ôèëèïï VI äå Âàëóà;;x
ERA_CHAR_NAME_457620;Fernando III of Castile;;;;;;;;;;;Ôåðíàíäî III Êàñòèëüñêèé;;x
ERA_CHAR_NAME_459560;Alfonso II 'the Fat';;;;;;;;;;;Àôîíñó II Òîëñòûé;;x
ERA_CHAR_NAME_471500;Casimir the Great;;;;;;;;;;;Êàçèìèð Âåëèêèé;;x
ERA_CHAR_NAME_476500;Orhan Ottoman;;;;;;;;;;;Îðõàí I èç Îñìàíîâ;;x
ERA_CHAR_NAME_476500_DLC;Sultan Orhan Ottoman;;;;;;;;;;;Ñóëòàí Îðõàí Îñìàí;;x
ERA_CHAR_NAME_480000;Özbeg Khan;;;;;;;;;;;Óçáåê-õàí;;x
ERA_CHAR_NAME_LONG_3504;Khagan Akhad Moshka of Bolghar;;;;;;;;;;;Àõàä Ìîñõà, êàãàí Áóëãàðèè;;x
ERA_CHAR_NAME_LONG_71157;Serene Doge Oberto of Genoa;;;;;;;;;;;Îáåðòî, ñâåòëåéøèé äîæ Ãåíóè;;x
ERA_CHAR_NAME_LONG_194282;Grand Mayor Gunnar of Visby;;;;;;;;;;;Ãóííàð, âåëèêèé ìýð Âèñáþ;;x
ERA_CHAR_NAME_LONG_247204;Purgyal Lha II Taramu of Ü-Tsang;;;;;;;;;;;Ïóðãüÿë Ëõà II Òàðàìî, ïðàâèòåëü Ó-Öàíãà;;x
ERA_HOLMGARDR;Holmgarðr;;;;;;;;;;;Õîëüìãàðä;;x
ERA_JORVIK;Jorvik;;;;;;;;;;;Éîðâèê;;x
ERA_KHWAREZM;Khwarezmid;;;;;;;;;;;Õîðåçìèäû;;x
ERA_RASHTRAKUTA_KINGDOM;Rashtrakuta;;;;;;;;;;;Ðàøòðàêóòà;;x
ERA_TUGHLUQ;Tughluq;;;;;;;;;;;Òóãëàêèäû;;x
ERA_UMAYYAD_EMPIRE;Umayyad;;;;;;;;;;;Îìåéÿäû;;x
OTTO_THE_FIRST_ERA;The Iron Century;;;;;;;;;;;Æåëåçíûé âåê;;x
OTTO_THE_FIRST_ERA_INFO;On the 7th of August 936, Otto I was crowned King of the Germans. He initiated his arduous campaign to crush his rivals and reconquer the lost territory in Italy to reform the Holy Roman Empire. The Magyars settled down in the Carpathian Basin and began to make their mark on the world as they conquered and pillaged their neighbors, becoming feared across Europe. In the north the Christians were trying to push into the Scandinavian Peninsula to start converting the pagan kings, but the Germanic faith still stood strong among the vikings. In Baghdad far to the south-east, the ancient Abbasid Caliphate that once ruled an empire stretching from Persia to Hispania finally fell to infighting, left only with the heartland of their former empire. And on the shores of Africa a new rival rose up in the form of the Fatimid Caliphate, ready to fill the vacant regions left behind by their adversary.;;;;;;;;;;;7 àâãóñòà 936 ãîäà Îòòîí I áûë êîðîíîâàí êàê êîðîëü âñåõ ãåðìàíöåâ. Îí íà÷àë òðóäíûé âîåííûé ïîõîä, äàáû ñîêðóøèòü ñâîèõ ñîïåðíèêîâ, îòâîåâàòü ïîòåðÿííûå òåððèòîðèè â Èòàëèè è ðåôîðìèðîâàòü Ñâÿùåííóþ Ðèìñêóþ èìïåðèþ. Ìàäüÿðû îáîñíîâàëèñü â Êàðïàòñêîì áàññåéíå, ãäå íà÷àëè çàâî¸âûâàòü è ãðàáèòü ñâîèõ ñîñåäåé, íàâîäÿ óæàñ íà âñþ Åâðîïó. Íà ñåâåðå õðèñòèàíå ñîâåðøàþò ïîïûòêè âòîðãíóòüñÿ íà Ñêàíäèíàâñêèé ïîëóîñòðîâ, ÷òîáû îáðàòèòü êîíóíãîâ â ñâîþ âåðó, íî äðåâíèå îáû÷àè âèêèíãîâ ïîêà íå ñïåøàò îòñòóïàòü. Â Áàãäàäå, äàëåêî íà þãî-âîñòîêå, õàëèôàò Àááàñèäîâ, íåêîãäà ïðîñòèðàâøèéñÿ îò Ïåðñèè äî Èñïàíèè, ñêàòèëñÿ äî âíóòðåííèõ ðàñïðåé, ñîõðàíèâ ñâî¸ âëèÿíèå ëèøü â öåíòðå áûâøåé èìïåðèè, è íà áåðåãàõ Àôðèêè ïîÿâèëñÿ íîâûé ñîïåðíèê â ëèöå õàëèôàòà Ôàòèìèäîâ, ãîòîâûé çàïîëíèòü ïóñòóþùèå ðåãèîíû.;;x
VIKING_ERA;Viking Age;;;;;;;;;;;Ýïîõà âèêèíãîâ;;x
VIKING_ERA_INFO;By the middle of the 9th century, the Norse raiders and adventurers known as the Vikings had already begun to set their indelible mark on the map of Europe, establishing realms in Russia and the British Isles and travelling and raiding as far as the Black Sea and the Mediterranean. The Karling rulers, descendants of Charlemagne, ruled mighty realms in France, Germany and Italy, while the Muslim religion was now firmly established in Spain under the Umayyads. The Byzantine emperor held on, though suffering under increasing pressure from the Caliphate and the Bulgarians. West of the fractured Steppes, The Magyars were poised to make their claim on the Carpathian basin. Islam was spreading rapidly in Persia under rulers such as the Saffarids, and had penetrated into the Indus valley. Further East, the Hindu Pratihara dynasty was expanding.;;;;;;;;;;;Ê ñåðåäèíå IX âåêà, ñêàíäèíàâñêèå ðàçáîéíèêè è àâàíòþðèñòû, èçâåñòíûå êàê âèêèíãè, óæå íà÷àëè îñòàâëÿòü ñâîé ñëåä íà êàðòå Åâðîïû, áîðÿñü çà âëàñòü íà Ðóñè è Áðèòàíñêèõ îñòðîâàõ, ïóòåøåñòâèÿ è ñîâåðøàÿ íàáåãè íà Ñðåäèçåìíîìîðüå. Äèíàñòèÿ Êàðîëèíãîâ, ïîòîìêîâ Êàðëà Âåëèêîãî, ñîçäàëà ìîãó÷èå ãîñóäàðñòâà âî Ôðàíöèè, Èòàëèè è Ãåðìàíèè, à èñëàì ïðî÷íî óòâåðäèëñÿ â Èñïàíèè ïîä êîíòðîëåì äèíàñòèè Îìåéÿäîâ è áûñòðî ðàñïðîñòðàíèëñÿ â Ïåðñèè ÷åðåç ïðàâèòåëåé äèíàñòèè Ñàôôàðèäîâ, ïðîíèêíóâ â äîëèíó Èíäà. Âèçàíòèÿ äåðæèòñÿ, íî ñòðàäàåò ïîä ðàñòóùèì äàâëåíèåì ñî ñòîðîíû õàëèôàòà è áîëãàð, â òî âðåìÿ êàê ìàäüÿðû, äîáðàâøèñü äî çàïàäíûõ ñòåïåé óæå ãîòîâû ïðåäúÿâèòü ñâîè ïðåòåíçèè íà Êàðïàòñêèé áàññåéí, à íà âîñòîêå ìîãóùåñòâåííàÿ èíäóèñòñêàÿ äèíàñòèè Ïðàòèõàð ðàñøèðÿåò ñâîè âëàäåíèÿ.;;x
